post_id,title,category,score,num_comments,author,collected_at
49710015,How much of F-Droid is LLM generated?,technology,35,6,_ZeD_,2026-09-15 16:21:04.890170
49710109,Let's make quality the norm again,technology,57,42,ingve,2026-09-15 16:21:05.907246
49710253,Suspected sabotage causes major Netherlands rail disruption,technology,17,0,choult,2026-09-15 16:21:07.832035
49697477,Dropping eBPF CPU Cost by About 90% with Memoization (Not AI Gen),technology,121,27,nathannaveen,2026-09-15 16:21:18.056705
49695876,OpenAI bots knew about the RubyGems caching vulnerability,technology,469,376,gregnavis,2026-09-15 16:21:18.960213
49700255,Cloudflare AKE cuts origin HelloRetryRequests from 52% to 3.7%,technology,113,34,iamsyr,2026-09-15 16:21:37.409015
49706223,"Ex-FTC boss Khan: break out the handcuffs for AI CEOs, citing 1934 precedent",technology,173,108,throwworhtthrow,2026-09-15 16:21:40.843779
49697094,Adversarial Fashion Makes a Statement on AI Panopticon,technology,102,46,rbanffy,2026-09-15 16:21:49.361174
49703003,GPT-5.6 Luna vs. GPT-6 Astra: Is a $1.20 Model Good Enough for Code Review?,technology,147,135,theanonymousone,2026-09-15 16:21:50.189553
49690554,The case against JPEG XL,technology,270,363,contact9879,2026-09-15 16:21:53.591473
49696132,"Largest known Roman mosaic, beneath Baths of Trajan, opens to the public",technology,53,8,bookofjoe,2026-09-15 16:21:59.600679
49693690,"When code is a maze, smart developers make maps (2025)",technology,35,44,boxesnlines,2026-09-15 16:22:02.167536
49696125,How to write an effective software design document,technology,333,136,fagnerbrack,2026-09-15 16:22:04.710429
49706941,I worked at Google DeepMind. You should listen to the warnings about AI,technology,36,23,gibspaulding,2026-09-15 16:22:08.151992
49693384,OpenArch – PyTorch implementations of modern LLM architectures,technology,138,31,anuj0456,2026-09-15 16:22:09.021996
49662246,"Rope, twine and thread: Invisible technologies of the Stone Age",technology,118,51,knowablemag,2026-09-15 16:22:09.853288
49683953,Data collected by cars and sold to third parties,technology,473,254,bookofjoe,2026-09-15 16:22:14.277634
49696995,We do modern frequentist statistics: Using fake-data simulation,technology,20,1,Tomte,2026-09-15 16:22:19.573199
49706829,"Israeli Effective Altruism Firm Behind OpenAI, Anthropic, and Meta Cyberattacks",technology,49,9,MrBuddyCasino,2026-09-15 16:22:21.460965
49690260,Open-source AI and open models reading list,technology,154,29,simonpure,2026-09-15 16:22:22.413126
49678969,"Why are AI agents lying, cheating and coordinating?",technology,649,687,jonifico,2026-09-15 16:22:23.354126
49695409,"Apple's Siri AI Can Be Swapped Out for Claude, ChatGPT, Code Shows",technology,222,157,tosh,2026-09-15 16:22:24.210174
49699075,Show HN: Fly.exe – An EON systems like virtual fruit fly uploaded to computer,technology,23,4,Ibti_sam,2026-09-15 16:22:30.843511
49707006,Air Force secretary acknowledges the US has weapons in space,technology,18,3,SanjayMehta,2026-09-15 16:22:32.503610
49694596,Big AI sets out its terms for regulatory capture,technology,117,68,joebuckwilliams,2026-09-15 16:22:34.218658
49638071,Reverse engineering my e-scooter and rewriting the firmware in Rust,worldnews,441,104,vinhnx,2026-09-15 16:23:58.688338
49704001,US coal 'biggest contributor by far' to rise in global emissions,worldnews,40,15,softwaredoug,2026-09-15 16:24:38.610473
49690051,The Coming War on General Computation (2011),worldnews,119,39,gregsadetsky,2026-09-15 16:24:46.921720
49686766,"I'm being cyberattacked by Tesla, Inc",worldnews,453,118,robinpie,2026-09-15 16:25:48.293255
49683729,US Customs supervisor busted for stealing hardware from Homeland Security PCs,worldnews,133,108,Levitating,2026-09-15 16:26:34.448394
49695490,EPA Expected to Erase Limits on Climate Pollution from Power Plants,worldnews,11,0,robtherobber,2026-09-15 16:27:01.405919
49660576,Global Glacier Extinction Explorer,worldnews,158,64,guillego,2026-09-15 16:27:16.949605
49642396,SystemIO conflicts are not firmware bugs,worldnews,38,6,haeseong,2026-09-15 16:27:32.473285
49658299,Houthis 'take control' of key island in global shipping route,worldnews,392,705,consumer451,2026-09-15 16:28:14.985614
49686697,Global shortage has led to motor oil rationing at Costco,worldnews,223,213,mikhael,2026-09-15 16:28:18.425365
49691858,EPA Expected to Erase Limits on Climate Pollution from Power Plants,worldnews,7,0,foobarqux,2026-09-15 16:29:47.000251
49700661,Steam Frame starts at $1059,sports,680,524,bsimpson,2026-09-15 16:30:32.485628
49700413,"US 10-Year Breaches 5% as Inflation, Supply Worries Mount",sports,64,42,toomuchtodo,2026-09-15 16:32:04.461970
49642531,"List of references on Sony websites to players ""owning"" their digital games",sports,452,160,haunter,2026-09-15 16:33:22.893007
49700366,"Steam Frame: Valve's standalone SteamOS VR headset ($1,059)",sports,23,14,sirlancer,2026-09-15 16:33:59.310165
49707473,US confirms for first time it has deployed space weapons,science,70,38,harporoeder,2026-09-15 16:37:50.204395
49699648,Why don't machine learning research agents overfit?,science,130,74,Betelbuddy,2026-09-15 16:38:05.367319
49638510,Spaceships (Reverse Asteroid),science,367,69,zdw,2026-09-15 16:38:11.149592
49706451,US military reveals it has weapons in space,science,50,14,JumpCrisscross,2026-09-15 16:38:40.501291
49653311,Reverse-Engineering Claude Web's MicroVM: Uncovering Anthropic's Hidden Antspace,science,109,24,rzk,2026-09-15 16:40:01.079006
49662214,λ Snap – An inviting programming language for kids and adults for CS study,science,184,108,dr_kiszonka,2026-09-15 16:41:27.912331
49679717,MacFileSizing – What is consuming my disk space?,science,8,2,jaccon,2026-09-15 16:43:51.189514
49676425,Show HN: Redis City – Explore how Redis works in an interactive 3D model,entertainment,104,18,poltora,2026-09-15 16:45:13.624645
